1635901,1,10,,,,CONCEPT: The International Standard Classification of Occupations (ISCO-08) is an international classification managed by the International Labour Organisation (ILO). It is a revision of the ISCO-88, which it supersedes. ISCO-08 is a tool for organizing jobs into a clearly defined set of groups according to the tasks and duties undertaken in the job. ISCO-08 has been developed to facilitate international comparisons of occupational statistics and to serve as a model for countries developing or revising their national occupational classifications. The framework used for the design and construction of ISCO-08 is based on two main concepts: the concept of job, and the concept of skill. A job is defined in ISCO-08 as “a set of tasks and duties performed, or meant to be performed, by one person, including for an employer or in self-employment”. Occupation refers to the kind of work performed in a job. The concept of occupation is defined as a “set of jobs whose main tasks and duties are characterized by a high degree of similarity”. A person may be associated with an occupation through the main job currently held, a second job, a future job or a job previously held. Skill is defined as the ability to carry out the tasks and duties of a given job. For the purposes of ISCO-08, two dimensions of skills are used to arrange occupations into two groups: (a) Skill level is defined as a function of the complexity and range of tasks and duties to be performed in an occupation and (b) skill specialization is considered in terms of four concepts: the field of knowledge required, the tools and machinery used, the materials worked on or with and the kinds of goods and services produced.
1636084,4,1840,1780,OC2656,OC265,Announcers on radio, television and other media
1636085,4,1850,1780,OC2659,OC265,Creative and performing artists not elsewhere classified
1636086,1,1860,,OC3,,Technicians and associate professionals
1636087,2,1870,1860,OC31,OC3,Science and engineering associate professionals
1636088,3,1880,1870,OC311,OC31,Physical and engineering science technicians
1636089,4,1890,1880,OC3111,OC311,Chemical and physical science technicians
1636090,4,1900,1880,OC3112,OC311,Civil engineering technicians
1636091,4,1910,1880,OC3113,OC311,Electrical engineering technicians
1636092,4,1920,1880,OC3114,OC311,Electronics engineering technicians
1636093,4,1930,1880,OC3115,OC311,Mechanical engineering technicians
1636094,4,1940,1880,OC3116,OC311,Chemical engineering technicians
1636095,4,1950,1880,OC3117,OC311,Mining and metallurgical technicians
1636096,4,1960,1880,OC3118,OC311,Draughtspersons
1636097,4,1970,1880,OC3119,OC311,Physical and engineering science technicians not elsewhere classified
1636098,3,1980,1870,OC312,OC31,Mining, manufacturing and construction supervisors
1636099,4,1990,1980,OC3121,OC312,Mining supervisors
1636100,4,2000,1980,OC3122,OC312,Manufacturing supervisors
1636101,4,2010,1980,OC3123,OC312,Construction supervisors
1636102,3,2020,1870,OC313,OC31,Process control technicians
1636103,4,2030,2020,OC3131,OC313,Power production plant operators
1636104,4,2040,2020,OC3132,OC313,Incinerator and water treatment plant operators
1636105,4,2050,2020,OC3133,OC313,Chemical processing plant controllers
1636106,4,2060,2020,OC3134,OC313,Petroleum and natural gas refining plant operators
1636107,4,2070,2020,OC3135,OC313,Metal production process controllers
1636108,4,2080,2020,OC3139,OC313,Process control technicians not elsewhere classified
1636109,3,2090,1870,OC314,OC31,Life science technicians and related associate professionals
1636110,4,2100,2090,OC3141,OC314,Life science technicians (excluding medical)
1636111,4,2110,2090,OC3142,OC314,Agricultural technicians
1636112,4,2120,2090,OC3143,OC314,Forestry technicians
1636113,3,2130,1870,OC315,OC31,Ship and aircraft controllers and technicians
1636114,4,2140,2130,OC3151,OC315,Ships' engineers
1636115,4,2150,2130,OC3152,OC315,Ships' deck officers and pilots
1636116,4,2160,2130,OC3153,OC315,Aircraft pilots and related associate professionals
1636117,4,2170,2130,OC3154,OC315,Air traffic controllers
1636118,4,2180,2130,OC3155,OC315,Air traffic safety electronics technicians
1636119,2,2190,1860,OC32,OC3,Health associate professionals
1636120,3,2200,2190,OC321,OC32,Medical and pharmaceutical technicians
1636121,4,2210,2200,OC3211,OC321,Medical imaging and therapeutic equipment technicians
1636122,4,2220,2200,OC3212,OC321,Medical and pathology laboratory technicians
1636123,4,2230,2200,OC3213,OC321,Pharmaceutical technicians and assistants
1636124,4,2240,2200,OC3214,OC321,Medical and dental prosthetic technicians
1636125,3,2250,2190,OC322,OC32,Nursing and midwifery associate professionals
1636126,4,2260,2250,OC3221,OC322,Nursing associate professionals
1636127,4,2270,2250,OC3222,OC322,Midwifery associate professionals
1636128,3,2280,2190,OC323,OC32,Traditional and complementary medicine associate professionals
1636129,4,2290,2280,OC3230,OC323,Traditional and complementary medicine associate professionals
1636130,3,2300,2190,OC324,OC32,Veterinary technicians and assistants
1636131,4,2310,2300,OC3240,OC324,Veterinary technicians and assistants
1636132,3,2320,2190,OC325,OC32,Other health associate professionals
1636133,4,2330,2320,OC3251,OC325,Dental assistants and therapists
1636134,4,2340,2320,OC3252,OC325,Medical records and health information technicians
1636135,4,2350,2320,OC3253,OC325,Community health workers
1636136,4,2360,2320,OC3254,OC325,Dispensing opticians
1636137,4,2370,2320,OC3255,OC325,Physiotherapy technicians and assistants
1636138,4,2380,2320,OC3256,OC325,Medical assistants
1636139,4,2390,2320,OC3257,OC325,Environmental and occupational health inspectors and associates
1636140,4,2400,2320,OC3258,OC325,Ambulance workers
1636141,4,2410,2320,OC3259,OC325,Health associate professionals not elsewhere classified
1636142,2,2420,1860,OC33,OC3,Business and administration associate professionals
1636143,3,2430,2420,OC331,OC33,Financial and mathematical associate professionals
1636144,4,2440,2430,OC3311,OC331,Securities and finance dealers and brokers
1636145,4,2450,2430,OC3312,OC331,Credit and loans officers
1636146,4,2460,2430,OC3313,OC331,Accounting associate professionals
1636147,4,2470,2430,OC3314,OC331,Statistical, mathematical and related associate professionals
1636148,4,2480,2430,OC3315,OC331,Valuers and loss assessors
1636149,3,2490,2420,OC332,OC33,Sales and purchasing agents and brokers
1636150,4,2500,2490,OC3321,OC332,Insurance representatives
1636151,4,2510,2490,OC3322,OC332,Commercial sales representatives
1636152,4,2520,2490,OC3323,OC332,Buyers
1636153,4,2530,2490,OC3324,OC332,Trade brokers
1636154,3,2540,2420,OC333,OC33,Business services agents
1636155,4,2550,2540,OC3331,OC333,Clearing and forwarding agents
1636156,4,2560,2540,OC3332,OC333,Conference and event planners
1636157,4,2570,2540,OC3333,OC333,Employment agents and contractors
1636158,4,2580,2540,OC3334,OC333,Real estate agents and property managers
1636159,4,2590,2540,OC3339,OC333,Business services agents not elsewhere classified
1636160,3,2600,2420,OC334,OC33,Administrative and specialised secretaries
1636161,4,2610,2600,OC3341,OC334,Office supervisors
1636162,4,2620,2600,OC3342,OC334,Legal secretaries
1636163,4,2630,2600,OC3343,OC334,Administrative and executive secretaries
1636164,4,2640,2600,OC3344,OC334,Medical secretaries
1636165,3,2650,2420,OC335,OC33,Regulatory government associate professionals
1636166,4,2660,2650,OC3351,OC335,Customs and border inspectors
1636167,4,2670,2650,OC3352,OC335,Government tax and excise officials
1636168,4,2680,2650,OC3353,OC335,Government social benefits officials
1636169,4,2690,2650,OC3354,OC335,Government licensing officials
1636170,4,2700,2650,OC3355,OC335,Police inspectors and detectives
1636171,4,2710,2650,OC3359,OC335,Regulatory government associate professionals not elsewhere classified
1636172,2,2720,1860,OC34,OC3,Legal, social, cultural and related associate professionals
1636173,3,2730,2720,OC341,OC34,Legal, social and religious associate professionals
